NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.3	Details ...	98	0.698852	2.5959787	0.0	0.0	0.0	2925	tags=65%, list=20%, signal=81%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	Details ...	116	0.67840284	2.5554008	0.0	0.0	0.0	2925	tags=60%, list=20%, signal=75%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	Details ...	116	0.67840284	2.55349	0.0	0.0	0.0	2925	tags=60%, list=20%, signal=75%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.5	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.5	Details ...	108	0.69109225	2.5513704	0.0	0.0	0.0	2925	tags=64%, list=20%, signal=80%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.4	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.4	Details ...	109	0.68562305	2.54391	0.0	0.0	0.0	2925	tags=62%, list=20%, signal=78%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	Details ...	86	0.7006762	2.5219126	0.0	0.0	0.0	2666	tags=64%, list=18%, signal=78%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 91%72764	EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 91%72764	Details ...	90	0.6933638	2.5191004	0.0	0.0	0.0	2666	tags=62%, list=18%, signal=76%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	Details ...	90	0.68381584	2.510228	0.0	0.0	0.0	3106	tags=67%, list=22%, signal=84%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 91%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 91%9633012	Details ...	98	0.689667	2.5084145	0.0	0.0	0.0	2666	tags=61%, list=18%, signal=75%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	79	0.70471025	2.5035677	0.0	0.0	0.0	2666	tags=66%, list=18%, signal=80%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	Details ...	79	0.70446354	2.5034497	0.0	0.0	0.0	2666	tags=66%, list=18%, signal=80%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	Details ...	79	0.7045612	2.5016532	0.0	0.0	0.0	2666	tags=66%, list=18%, signal=80%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	79	0.7040265	2.501204	0.0	0.0	0.0	2666	tags=66%, list=18%, signal=80%	
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 91%192823	VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 91%192823	Details ...	86	0.7039378	2.4995563	0.0	0.0	0.0	2666	tags=64%, list=18%, signal=78%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	79	0.7051469	2.497089	0.0	0.0	0.0	2666	tags=66%, list=18%, signal=80%	
